REFCODE,A,B,C,α,β,γ,Volume,Density,Atom Count,Total Dispersion Correction Energy (vdW) eV,Total Energy eV,Difference in Energy eV,Total Energy Per Molecule eV,Energy per Atom (vdW) eV,CC,CH,CCl,CO,CS,CBr,CN,HBr,HH,HO,HS,HCl,HN,OCl,OO,OS,BrO,ON,NN,ClCl,NS,SS,NCl,SCl,ClBr,SBr,NBr,BrBr,FF,FO,FC,FH,FS,FCl,FN,FBr,II,BrI,ClI,FI,SI,OI,NI,CI,HI,BAND GAP
DOCXIE,6.205,7.5,16.259,91.115,92.471,90.182,755.86,1.4959,72,-8307.914,-8302.204,-5.709,-4151.1022,-0.079295833,1,46.9,0,0,10.6,0,0,0,32.2,0,6,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414
DOVXUJ,10.193,14.006,14.954,73.124,82.182,86.341,2023.259,1.43664,186,-24040.778,-24027.343,-13.435,-4004.55715,-0.072233871,7.4,23.3,4.6,0,0,0,5.2,0,22.5,0,0,8.7,24.2,0,0,0,0,0,0.8,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32
DUBFOX,6.427,6.427,21.586,92.375,92.375,68.847,830.518,1.4731,84,-11603.676,-11597.651,-6.024,-5798.8255,-0.071720238,7.4,30.3,0,0,0,0,2.1,0,29.8,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.6,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.651
DUBKOB,7.63,8.096,13.562,90,100.285,90,824.3,1.80544,72,-10235.651,-10230.387,-5.264,-2557.59685,-0.073106944,9.2,16.9,0,1.1,0,2.4,1.9,22.2,25.6,15.2,0,0,2,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72
DUBNUL,12.439,4.313,17.483,90,132.405,90,692.557,2.22525,56,-7619.133,-7614.759,-4.374,-1903.68965,-0.078116071,6.7,17.2,0,4.1,0,0,0,0,23.3,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,5.1,0,1.7,26.1,2.705
DUCSAX,7.742,17.597,7.89,90,92.006,90,1074.13,1.28439,112,-11042.741,-11035.72,-7.021,-2758.93005,-0.062689286,0.8,23.1,0,0,0,0,0,0,53.1,0,0,20.4,2,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.426
DUCTEB,9.136,9.464,11.98,107.591,104.637,93.564,944.431,1.44478,90,-11832.424,-11825.986,-6.439,-5912.99295,-0.071538889,12.1,17.6,1.5,1.2,0,0,2.4,0,33.8,16.8,0,9.3,2.7,1.5,0.2,0,0,0,0,0.3,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.482
DUDPUP,13.326,6.147,16.003,90,111.036,90,1223.541,1.79187,92,-21430.982,-21425.181,-5.8,-5356.295325,-0.063045652,2.3,19,0,0,0,5.8,1.3,7.7,4.7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,10,0,18.7,17.4,0,0,2.1,4.4,0,0,0,0,0,0,0,0,0,2.843
DUDQAW,8.316,15.058,11.193,90,94.312,90,1397.728,2.3047,92,-19793.652,-19786.763,-6.889,-4946.690825,-0.074876087,10.7,14,0,0,0,0,2,0,2.2,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,3.6,14,0,0,0.3,0,2.2,0,0,8.3,0,0,5,5.8,20.2,2.658
DUDQEA,6.927,8.991,9.529,91.7,108.671,90.315,561.91,1.7382,46,-8135.333,-8132.1,-3.233,-4066.04995,-0.07028913,13.2,17.9,0,0,0,0.1,0.3,12.2,14,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.6,0.7,0,5.8,21.2,0,0,0,3.6,0,0,0,0,0,0,0,0,0,2.677
DUHRAB,29.698,7.901,5.055,90,90,90,1186.101,1.40753,136,-14783.944,-14775.266,-8.679,-3693.816375,-0.063815441,0,16.2,0,0,0,0,0,0,53.5,28,0.1,0,2.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.988
DUMKON,8.542,8.556,10.517,103.309,107.02,97.538,698.691,1.36797,76,-7966.788,-7961.772,-5.016,-3980.8859,-0.066002632,2.7,13.4,0.9,0,0,0,2.9,0,57.3,0,0,14.1,8.3,0,0,0,0,0,0.4,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.971
DUMKUT,11.948,9.797,14.76,90,94.37,90,1722.698,1.30465,168,-22657.844,-22648.216,-9.627,-5662.0541,-0.057305357,0.1,28.4,0,0,0,0,0,0,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.083
FERHER,6.786,7.366,13.023,90,92.259,90,650.518,1.39237,64,-7909.686,-7905.431,-4.255,-3952.71555,-0.0664875,4.9,19.7,4.2,0.4,0,0,0,0,43,14.9,0,12.7,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.755
