Entry,Index,NAME,a,b,c,alpha,gamma,beta,r_factor,calculated_density
HOMOLUMOCHON_final|HIYCUN|506,507,HIYCUN,12.748,6.11,14.87,90.0,90.0,99.51,5.0,1.455
HOMOLUMOCHON_final|HODKOB|507,508,HODKOB,18.0091,9.6678,8.1028,90.0,90.0,91.262,3.68,1.395
HOMOLUMOCHON_final|HOHDOY|508,509,HOHDOY,18.7467,6.1653,11.7505,90.0,90.0,94.665,3.39,1.238
HOMOLUMOCHON_final|HOKZEN|509,510,HOKZEN,9.4796,13.161,10.6552,90.0,90.0,113.132,3.84,1.153
HOMOLUMOCHON_final|HOQRAH|510,511,HOQRAH,8.10238,12.8053,15.8078,90.0,90.0,94.0063,3.59,1.179
HOMOLUMOCHON_final|HUFMAX|511,512,HUFMAX,4.5883,14.9171,13.9203,90.0,90.0,95.153,3.6,1.304
HOMOLUMOCHON_final|HUFNIG|512,513,HUFNIG,8.0007,10.7161,20.7759,90.0,90.0,90.0,3.11,1.366
HOMOLUMOCHON_final|HUGZOZ|513,514,HUGZOZ,12.7125,9.5398,19.1664,90.0,90.0,91.467,5.08,1.391
HOMOLUMOCHON_final|HULBOG|514,515,HULBOG,13.531,9.8353,14.0853,90.0,90.0,116.567,4.1,1.182
HOMOLUMOCHON_final|HULCAT|515,516,HULCAT,11.078,11.586,17.747,90.0,90.0,93.055,4.91,1.111
HOMOLUMOCHON_final|HULCOH|516,517,HULCOH,14.3801,10.8618,14.3929,90.0,90.0,108.031,3.95,1.182
HOMOLUMOCHON_final|HULDEY|517,518,HULDEY,6.9944,12.4618,14.4554,90.0,90.0,90.0,3.46,1.225
HOMOLUMOCHON_final|HUNMAF|518,519,HUNMAF,10.3835,18.167,9.6747,90.0,90.0,90.0,4.02,1.239
HOMOLUMOCHON_final|HUVXIG|519,520,HUVXIG,6.0303,7.7941,33.72,90.0,90.0,90.0,3.55,1.276
HOMOLUMOCHON_final|HXPRDO01|520,521,HXPRDO01,7.3253,13.3171,18.2362,90.0,90.0,90.0,3.47,1.241
HOMOLUMOCHON_final|IBUZUB|521,522,IBUZUB,7.7012,16.4386,9.1563,90.0,90.0,93.009,4.48,1.298
HOMOLUMOCHON_final|IFAJOP|522,523,IFAJOP,8.3801,12.5398,12.6852,90.0,90.0,90.0,2.5,1.317
HOMOLUMOCHON_final|IFOSEC|523,524,IFOSEC,7.4937,9.0345,21.4487,90.0,90.0,90.0,3.35,1.191
HOMOLUMOCHON_final|IFOVOO03|524,525,IFOVOO03,6.5846,14.0141,9.2868,90.0,90.0,109.11,3.39,1.519
HOMOLUMOCHON_final|IFUCOC|525,526,IFUCOC,8.5188,12.3964,12.6157,89.481,85.958,80.585,5.97,1.258
HOMOLUMOCHON_final|IFUCUI|526,527,IFUCUI,8.8758,14.5332,14.1883,90.0,90.0,101.864,4.22,1.196
HOMOLUMOCHON_final|IHOQUR|527,528,IHOQUR,5.9749,9.9112,27.8315,90.0,90.0,94.507,3.68,1.247
HOMOLUMOCHON_final|IHORAY|528,529,IHORAY,7.8609,13.0889,15.9303,90.0,90.0,95.062,3.71,1.255
HOMOLUMOCHON_final|IHOSEF|529,530,IHOSEF,9.253,9.129,10.515,90.0,90.0,105.373,3.63,1.382
HOMOLUMOCHON_final|IJUMEG|530,531,IJUMEG,25.69,4.8946,11.097,90.0,90.0,105.746,3.4,1.683
HOMOLUMOCHON_final|IKADUU|531,532,IKADUU,10.2239,11.309,13.8764,90.0,90.0,93.108,4.7,1.361
HOMOLUMOCHON_final|IKAXIC|532,533,IKAXIC,8.9849,11.8327,13.7768,79.804,88.094,74.115,6.97,1.266
HOMOLUMOCHON_final|ILABAZ|533,534,ILABAZ,6.4749,8.5245,23.9058,90.0,90.0,90.0,3.35,1.16
HOMOLUMOCHON_final|IMUKIL|534,535,IMUKIL,8.9712,24.4263,7.1014,90.0,90.0,103.722,4.35,1.223
HOMOLUMOCHON_final|INEREY|535,536,INEREY,10.5359,9.9811,10.232,90.0,90.0,92.281,4.39,1.361
HOMOLUMOCHON_final|IPACIM|536,537,IPACIM,7.1438,12.6488,25.7075,90.0,90.0,90.0,2.61,1.362
HOMOLUMOCHON_final|IRUXUP|537,538,IRUXUP,10.5149,11.44,15.3558,90.0,90.0,107.962,3.76,1.362
HOMOLUMOCHON_final|ISOSEP|538,539,ISOSEP,22.8137,4.6536,17.8722,90.0,90.0,107.277,3.94,1.329
HOMOLUMOCHON_final|ISOWIX|539,540,ISOWIX,12.6769,12.8446,14.6153,91.343,106.217,94.061,3.95,1.113
HOMOLUMOCHON_final|ITOLOT|540,541,ITOLOT,6.16325,11.2731,18.7642,90.0,90.0,90.0,3.36,1.296
HOMOLUMOCHON_final|ITOLUZ|541,542,ITOLUZ,6.14187,11.3932,18.2633,90.0,90.0,90.0,3.78,1.311
HOMOLUMOCHON_final|ITUDAD|542,543,ITUDAD,7.355,19.337,11.651,90.0,90.0,103.528,5.34,1.313
HOMOLUMOCHON_final|IVICOG|543,544,IVICOG,5.5181,16.785,15.844,90.0,90.0,92.69,5.52,1.334
HOMOLUMOCHON_final|IVIQOU|544,545,IVIQOU,12.824,11.2004,14.99,90.0,90.0,101.963,4.96,1.124
HOMOLUMOCHON_final|IZINIO|545,546,IZINIO,16.161,8.038,18.47,90.0,90.0,93.948,4.16,1.317
HOMOLUMOCHON_final|JACZIX|546,547,JACZIX,7.847,7.23837,20.6918,90.0,90.0,95.7053,5.1,1.251
HOMOLUMOCHON_final|JAKWUO|547,548,JAKWUO,17.2708,5.714,23.476,90.0,90.0,98.234,6.48,1.288
HOMOLUMOCHON_final|JANYON01|548,549,JANYON01,15.721,8.124,12.92,90.0,90.0,90.0,0.0,1.274
HOMOLUMOCHON_final|JAPXUU|549,550,JAPXUU,5.797,13.722,11.819,90.0,90.0,93.498,5.76,1.24
HOMOLUMOCHON_final|JASJAP|550,551,JASJAP,6.2914,8.3463,21.595,90.0,90.0,90.0,3.7,1.243
HOMOLUMOCHON_final|JAXMIF|551,552,JAXMIF,8.699,12.618,11.835,90.0,90.0,102.934,3.34,1.324
HOMOLUMOCHON_final|JAYFUL|552,553,JAYFUL,9.9942,10.3822,15.8183,90.0,90.0,90.0,3.32,1.345
HOMOLUMOCHON_final|JAYMUS|553,554,JAYMUS,7.4026,18.4985,11.4109,90.0,90.0,109.466,4.19,1.408
HOMOLUMOCHON_final|JEDBUQ|554,555,JEDBUQ,11.631,9.4534,8.2775,90.0,90.0,107.643,4.24,1.12
HOMOLUMOCHON_final|JEJSOH|555,556,JEJSOH,8.8895,22.968,8.8931,90.0,90.0,102.095,3.7,1.326
HOMOLUMOCHON_final|JELQOH|556,557,JELQOH,7.739,10.156,22.793,90.0,90.0,90.0,7.74,1.181
HOMOLUMOCHON_final|JELQUN|557,558,JELQUN,7.2148,9.5841,27.361,90.0,90.0,90.0,3.28,1.188
HOMOLUMOCHON_final|JEWQOS|558,559,JEWQOS,13.78,7.122,11.767,90.0,90.0,98.64,4.52,1.177
HOMOLUMOCHON_final|JIPDIW|559,560,JIPDIW,6.108,11.798,17.42,90.0,90.0,90.0,4.9,1.208
HOMOLUMOCHON_final|JISXUF|560,561,JISXUF,7.526,8.9576,24.953,90.0,90.0,90.0,3.55,1.257
HOMOLUMOCHON_final|JOCXIJ|561,562,JOCXIJ,12.3697,7.2847,26.212,90.0,90.0,95.383,3.45,1.205
HOMOLUMOCHON_final|JODMIZ|562,563,JODMIZ,10.3799,11.7642,14.5275,90.0,90.0,109.4783,4.17,1.399
HOMOLUMOCHON_final|JODPUO|563,564,JODPUO,11.6801,6.0522,15.3739,90.0,90.0,107.678,3.69,1.355
HOMOLUMOCHON_final|JOFROM|564,565,JOFROM,19.15,5.058,12.838,90.0,90.0,97.09,7.71,1.326
HOMOLUMOCHON_final|JOJXEM|565,566,JOJXEM,8.8665,16.4,10.046,90.0,90.0,103.966,3.56,1.323
HOMOLUMOCHON_final|JUGCUJ|566,567,JUGCUJ,11.387,20.6,7.259,90.0,90.0,90.0,3.46,1.219
HOMOLUMOCHON_final|KABHUS|567,568,KABHUS,5.4442,10.7665,32.216,90.0,90.0,90.0,4.37,1.24
HOMOLUMOCHON_final|KACQEL|568,569,KACQEL,8.5752,8.3814,25.275,90.0,90.0,96.273,3.4,1.289
HOMOLUMOCHON_final|KAGDIH|569,570,KAGDIH,8.816,13.804,13.124,90.0,90.0,98.635,3.79,1.247
HOMOLUMOCHON_final|KARCOW|570,571,KARCOW,6.7802,6.7802,27.425,90.0,90.0,90.0,4.22,1.329
HOMOLUMOCHON_final|KEBFON|571,572,KEBFON,13.621,5.0388,15.6367,90.0,90.0,107.222,3.41,1.317
HOMOLUMOCHON_final|KEFYEA|572,573,KEFYEA,5.9858,13.2104,20.4727,90.0,90.0,97.066,4.73,1.316
HOMOLUMOCHON_final|KEGGAF|573,574,KEGGAF,21.213,4.7923,22.216,90.0,90.0,117.332,5.48,1.346
HOMOLUMOCHON_final|KEGHAG|574,575,KEGHAG,6.233,6.233,31.817,90.0,120.0,90.0,3.68,1.305
HOMOLUMOCHON_final|KELXOP|575,576,KELXOP,9.72,10.654,16.127,90.0,90.0,90.0,3.29,1.282
HOMOLUMOCHON_final|KENTON|576,577,KENTON,6.3696,7.2069,29.1029,90.0,90.0,90.0,3.88,1.304
HOMOLUMOCHON_final|KERDUH|577,578,KERDUH,13.7203,4.6599,19.1552,90.0,90.0,97.736,5.12,1.326
HOMOLUMOCHON_final|KERVAF|578,579,KERVAF,26.8936,6.6772,8.0289,90.0,90.0,91.198,4.62,1.402
HOMOLUMOCHON_final|KIDSEW|579,580,KIDSEW,12.365,10.4112,22.0747,90.0,90.0,115.171,4.72,1.334
HOMOLUMOCHON_final|KIHMEU|580,581,KIHMEU,8.6545,17.762,13.1968,90.0,90.0,92.469,8.84,1.332
HOMOLUMOCHON_final|KIKTUU|581,582,KIKTUU,16.2786,11.472,8.1035,90.0,90.0,94.318,5.8,1.199
HOMOLUMOCHON_final|KIXFIH|582,583,KIXFIH,13.8333,5.92699,19.8352,90.0,90.0,99.6806,4.21,1.394
HOMOLUMOCHON_final|KIXNAH|583,584,KIXNAH,7.6793,13.178,18.7288,90.0,90.0,90.0,2.81,1.179
HOMOLUMOCHON_final|KIYVIY|584,585,KIYVIY,8.9977,12.11,23.5737,90.0,90.0,90.0,4.74,1.139
HOMOLUMOCHON_final|KOFBOX|585,586,KOFBOX,5.6145,15.7422,17.3843,90.0,90.0,90.0,3.38,1.385
HOMOLUMOCHON_final|KOKRIM|586,587,KOKRIM,7.6547,7.7335,24.521,90.0,90.0,94.224,4.66,1.337
HOMOLUMOCHON_final|KOKSAF|587,588,KOKSAF,17.6,6.1125,17.536,90.0,90.0,99.252,7.44,1.279
HOMOLUMOCHON_final|KOKSEJ|588,589,KOKSEJ,8.8124,9.1581,18.5645,98.402,96.722,103.073,3.89,1.161
HOMOLUMOCHON_final|KOMQAF|589,590,KOMQAF,5.2941,15.2652,14.5546,90.0,90.0,90.399,3.58,1.402
HOMOLUMOCHON_final|KUFNOO|590,591,KUFNOO,9.383,13.026,10.028,90.0,90.0,98.75,5.0,1.405
HOMOLUMOCHON_final|KUKYAR|591,592,KUKYAR,5.0705,10.9552,21.325,90.0,90.0,92.876,3.65,1.125
HOMOLUMOCHON_final|KUSQIZ|592,593,KUSQIZ,10.6399,7.0001,11.5765,90.0,90.0,92.64,3.08,1.274
HOMOLUMOCHON_final|KUSZOO|593,594,KUSZOO,12.15,14.7396,9.5177,90.0,90.0,90.208,5.37,1.389
HOMOLUMOCHON_final|KUTMIW|594,595,KUTMIW,11.869,7.0388,14.1173,90.0,90.0,94.962,2.89,1.217
HOMOLUMOCHON_final|KUVMOE|595,596,KUVMOE,21.5743,5.4571,12.8394,90.0,90.0,104.099,4.13,1.352
HOMOLUMOCHON_final|KUWDAI|596,597,KUWDAI,13.452,12.359,15.18,90.0,90.0,107.318,5.75,1.272
HOMOLUMOCHON_final|KUZJAR|597,598,KUZJAR,6.0209,14.855,15.2292,90.0,90.0,90.603,4.3,1.367
HOMOLUMOCHON_final|KUZNAV|598,599,KUZNAV,38.5688,3.93493,18.2638,90.0,90.0,103.901,4.09,1.423
HOMOLUMOCHON_final|LACVAM|599,600,LACVAM,20.495,10.42,11.021,90.0,90.0,95.8,4.75,1.193
HOMOLUMOCHON_final|LAJNER|600,601,LAJNER,10.961,7.853,13.063,90.0,90.0,108.074,5.37,1.313
HOMOLUMOCHON_final|LAKJUD|601,602,LAKJUD,10.029,10.476,13.2088,90.0,90.0,90.0,3.84,1.284
HOMOLUMOCHON_final|LAKRAR|602,603,LAKRAR,9.989,9.984,21.047,90.0,90.0,102.193,17.97,1.675
HOMOLUMOCHON_final|LEGGUA|603,604,LEGGUA,8.6048,8.4436,16.095,90.0,90.0,90.0,3.88,1.353
HOMOLUMOCHON_final|LEPLEY|604,605,LEPLEY,8.367,8.4724,23.6852,90.0,90.0,92.514,2.08,1.387
HOMOLUMOCHON_final|LEQLEZ|605,606,LEQLEZ,12.559,5.626,19.945,90.0,90.0,104.03,13.27,1.44
HOMOLUMOCHON_final|LESVEL|606,607,LESVEL,27.457,7.1794,15.424,90.0,90.0,121.411,4.1,1.241
HOMOLUMOCHON_final|LETPEG|607,608,LETPEG,6.2734,7.6864,22.307,90.0,90.0,90.0,3.37,1.236
HOMOLUMOCHON_final|LETWAJ|608,609,LETWAJ,21.066,5.706,13.026,90.0,90.0,100.106,4.81,1.225
HOMOLUMOCHON_final|LIHHIU|609,610,LIHHIU,11.2404,6.328,23.5861,90.0,90.0,102.04,7.26,1.273
HOMOLUMOCHON_final|LIHLOE|610,611,LIHLOE,10.15,10.483,16.89,90.0,90.0,90.0,4.66,1.295
HOMOLUMOCHON_final|LIHVAA|611,612,LIHVAA,15.7112,10.68,11.8647,90.0,90.0,110.342,3.73,1.325
HOMOLUMOCHON_final|LIHVEE|612,613,LIHVEE,6.947,9.8537,14.9,75.203,78.979,89.945,3.53,1.286
HOMOLUMOCHON_final|LIJGER|613,614,LIJGER,8.3603,6.4935,23.1904,90.0,90.0,99.106,4.71,1.273
HOMOLUMOCHON_final|LIJJEU|614,615,LIJJEU,9.1496,12.8426,12.6835,90.0,90.0,100.592,4.44,1.416
HOMOLUMOCHON_final|LIJMEX|615,616,LIJMEX,7.5832,16.9532,8.3785,90.0,90.0,96.323,3.8,1.292
HOMOLUMOCHON_final|LIJTUU|616,617,LIJTUU,7.1849,9.8081,12.59,90.0,90.0,99.425,5.5,1.33
HOMOLUMOCHON_final|LITLAC|617,618,LITLAC,7.597,10.378,15.152,99.237,94.922,98.206,7.28,1.147
HOMOLUMOCHON_final|LITQIP|618,619,LITQIP,8.3073,10.3617,20.5313,90.0,90.0,90.0,4.0,1.302
HOMOLUMOCHON_final|LITQOV|619,620,LITQOV,7.4035,11.2369,10.9184,90.0,90.0,97.113,3.48,1.277
HOMOLUMOCHON_final|LIVYIZ|620,621,LIVYIZ,24.818,9.4674,7.0105,90.0,90.0,95.799,8.5,1.161
HOMOLUMOCHON_final|LOCQEA|621,622,LOCQEA,6.095,8.901,31.669,90.0,90.0,90.0,4.67,1.393
HOMOLUMOCHON_final|LOGPUT|622,623,LOGPUT,16.001,9.9744,14.124,90.0,90.0,95.655,4.41,1.222
HOMOLUMOCHON_final|LOJMED|623,624,LOJMED,6.902,11.9281,15.0146,90.0,90.0,90.0,2.51,1.291
HOMOLUMOCHON_final|LUDJIE|624,625,LUDJIE,8.2398,21.9753,7.6024,90.0,90.0,99.827,4.86,1.559
HOMOLUMOCHON_final|LUDNEE|625,626,LUDNEE,7.6,5.961,22.899,90.0,90.0,90.35,6.2,1.282
HOMOLUMOCHON_final|LUDPEG|626,627,LUDPEG,9.9034,10.2924,20.413,90.0,90.0,90.0,4.81,1.336
HOMOLUMOCHON_final|LUDWOX|627,628,LUDWOX,11.061,6.048,16.603,90.0,90.0,101.298,4.9,1.222
HOMOLUMOCHON_final|LUDWUD|628,629,LUDWUD,8.433,11.9818,20.782,90.0,90.0,90.0,3.6,1.223
HOMOLUMOCHON_final|LUFFIC|629,630,LUFFIC,13.048,9.487,17.671,90.0,90.0,97.031,10.51,1.287
HOMOLUMOCHON_final|LUFGEZ|630,631,LUFGEZ,9.2824,10.4418,11.6456,90.902,102.934,98.773,2.68,1.286
HOMOLUMOCHON_final|LUHLIK|631,632,LUHLIK,6.9194,7.8312,30.9251,90.0,90.0,90.0,3.1,1.365
HOMOLUMOCHON_final|LUPNEQ|632,633,LUPNEQ,9.462,10.521,11.851,90.0,90.0,113.029,3.03,1.298
HOMOLUMOCHON_final|LUSGAI|633,634,LUSGAI,8.8778,11.951,18.68,90.0,90.0,90.0,4.57,1.235
HOMOLUMOCHON_final|LUVSUQ|634,635,LUVSUQ,20.897,9.0175,10.018,90.0,90.0,96.413,3.47,1.361
HOMOLUMOCHON_final|LUXKIZ|635,636,LUXKIZ,14.767,9.1855,16.607,90.0,90.0,105.692,4.27,1.386
HOMOLUMOCHON_final|LUXKOF|636,637,LUXKOF,9.319,10.361,13.908,86.862,66.934,87.431,5.03,1.38
HOMOLUMOCHON_final|LUXKUL|637,638,LUXKUL,10.1757,25.7175,10.2216,90.0,90.0,118.376,3.94,1.356
HOMOLUMOCHON_final|MABYAR|638,639,MABYAR,12.4522,12.4742,19.6932,90.0,90.0,90.0,3.52,1.269
HOMOLUMOCHON_final|MACLAE01|639,640,MACLAE01,8.4175,19.867,6.2843,90.0,90.0,90.0,2.52,1.493
HOMOLUMOCHON_final|MANGAK|640,641,MANGAK,9.842,10.5542,15.8826,90.0,90.0,90.0,3.67,1.145
HOMOLUMOCHON_final|MATNEB|641,642,MATNEB,12.3799,7.2521,17.2138,90.0,90.0,101.892,4.25,1.442
HOMOLUMOCHON_final|MAXNIJ|642,643,MAXNIJ,33.5,6.2922,11.84,90.0,90.0,110.464,5.54,1.235
HOMOLUMOCHON_final|MICDUY|643,644,MICDUY,8.6579,7.45,23.049,90.0,90.0,99.248,4.94,1.495
HOMOLUMOCHON_final|MICKUF|644,645,MICKUF,7.9183,12.9676,22.2929,90.0,90.0,90.0,4.69,1.278
HOMOLUMOCHON_final|MIDXUS01|645,646,MIDXUS01,9.0604,19.0147,10.5963,90.0,90.0,101.333,2.79,1.352
HOMOLUMOCHON_final|MINCOC|646,647,MINCOC,7.8946,9.5583,15.043,80.129,84.498,89.662,4.52,1.207
HOMOLUMOCHON_final|MIPCEU|647,648,MIPCEU,9.6205,13.8569,16.7988,90.0,90.0,90.0,4.26,1.123
HOMOLUMOCHON_final|MIWQEP|648,649,MIWQEP,5.8814,8.8009,17.448,90.0,90.0,90.0,3.18,1.34
HOMOLUMOCHON_final|MIWQIT|649,650,MIWQIT,10.7693,23.007,8.2461,90.0,90.0,90.0,5.55,1.276
HOMOLUMOCHON_final|MOCANT02|650,651,MOCANT02,11.2274,7.6159,14.2498,90.0,90.0,104.9815,4.05,1.333
HOMOLUMOCHON_final|MODMOI|651,652,MODMOI,21.5582,5.6105,10.4622,90.0,90.0,101.51,4.19,1.383
HOMOLUMOCHON_final|MODWEI|652,653,MODWEI,7.6523,10.6885,27.705,90.0,90.0,90.0,4.0,1.262
HOMOLUMOCHON_final|MODZAH|653,654,MODZAH,7.9155,11.1129,14.7559,90.0,90.0,93.882,3.8,1.325
HOMOLUMOCHON_final|MOLKUU|654,655,MOLKUU,5.3568,22.3758,8.3376,90.0,90.0,99.593,3.4,1.323
HOMOLUMOCHON_final|MOLRIO|655,656,MOLRIO,13.226,8.3873,13.282,90.0,90.0,104.962,4.67,1.224
HOMOLUMOCHON_final|MOSBEC|656,657,MOSBEC,10.341,7.641,26.68,90.0,90.0,90.0,4.95,1.287
HOMOLUMOCHON_final|MOVJOX|657,658,MOVJOX,8.8321,11.3213,14.976,90.0,90.0,102.528,4.37,1.21
HOMOLUMOCHON_final|MOZLIX|658,659,MOZLIX,9.8222,7.6128,15.2309,90.0,90.0,107.604,3.3,1.189
HOMOLUMOCHON_final|MUCHOI|659,660,MUCHOI,14.3718,11.6446,10.226,90.0,90.0,96.901,4.72,1.213
HOMOLUMOCHON_final|MUDGAU|660,661,MUDGAU,10.0132,6.5882,24.575,90.0,90.0,101.457,5.25,1.306
HOMOLUMOCHON_final|MUFNUX|661,662,MUFNUX,13.2005,16.7409,5.9633,90.0,90.0,90.0,4.32,1.191
HOMOLUMOCHON_final|MUGNIL|662,663,MUGNIL,11.1451,13.5515,8.1935,90.0,90.0,97.486,6.87,1.333
HOMOLUMOCHON_final|MUHDAV|663,664,MUHDAV,7.6471,15.5793,21.787,90.0,90.0,90.0,3.08,1.302
HOMOLUMOCHON_final|MUJJUX|664,665,MUJJUX,17.1161,5.5117,17.6135,90.0,90.0,117.278,5.63,1.306
HOMOLUMOCHON_final|MUMFUW|665,666,MUMFUW,5.524,8.048,20.295,90.0,90.0,97.18,8.82,1.122
HOMOLUMOCHON_final|MUMJIO|666,667,MUMJIO,7.5823,8.0179,28.521,90.0,90.0,90.0,5.13,1.334
HOMOLUMOCHON_final|MUMWUN|667,668,MUMWUN,10.5181,8.118,21.8911,90.0,90.0,100.781,4.06,1.268
HOMOLUMOCHON_final|MUMXAU|668,669,MUMXAU,12.3647,6.5063,30.0174,90.0,90.0,96.355,4.11,1.402
HOMOLUMOCHON_final|MUMXEY|669,670,MUMXEY,10.5619,11.6132,15.5915,90.0,90.0,90.0,5.42,1.266
HOMOLUMOCHON_final|NADQUF|670,671,NADQUF,15.937,10.379,9.169,90.0,90.0,114.37,5.73,1.309
HOMOLUMOCHON_final|NAJMAO|671,672,NAJMAO,10.1223,9.0874,17.8697,90.0,90.0,104.238,4.74,1.244
HOMOLUMOCHON_final|NAPNAU|672,673,NAPNAU,11.0904,10.9721,15.6705,90.0,90.0,93.0893,4.15,1.285
HOMOLUMOCHON_final|NAYBOF|673,674,NAYBOF,8.609,13.836,19.514,90.0,90.0,90.0,3.97,1.287
HOMOLUMOCHON_final|NEMCEO|674,675,NEMCEO,8.1342,8.9103,14.2437,82.229,83.065,80.494,10.64,1.351
HOMOLUMOCHON_final|NENKEW|675,676,NENKEW,12.476,11.134,14.1,90.0,90.0,149.49,4.16,1.284
HOMOLUMOCHON_final|NEPETA01|676,677,NEPETA01,11.025,11.307,15.181,90.0,90.0,90.0,4.2,1.42
HOMOLUMOCHON_final|NEPVOU|677,678,NEPVOU,13.635,7.9222,20.448,90.0,90.0,90.694,4.68,1.235
HOMOLUMOCHON_final|NEPWAH|678,679,NEPWAH,4.7571,14.256,15.113,90.0,90.0,91.62,4.48,1.24
HOMOLUMOCHON_final|NEPXUC|679,680,NEPXUC,10.7239,16.065,10.7925,90.0,90.0,111.269,4.57,1.236
HOMOLUMOCHON_final|NEXZOG|680,681,NEXZOG,6.6826,10.81,23.8901,90.0,90.0,90.0,4.06,1.164
HOMOLUMOCHON_final|NIYBIG|681,682,NIYBIG,8.442,12.466,21.904,90.0,90.0,90.0,3.65,1.327
HOMOLUMOCHON_final|NOBPOK|682,683,NOBPOK,8.9042,22.3082,7.3504,90.0,90.0,107.546,3.58,1.242
HOMOLUMOCHON_final|NOQKOU|683,684,NOQKOU,7.0712,13.0588,17.1676,90.0,90.0,90.0,3.32,1.367
HOMOLUMOCHON_final|NORQAN|684,685,NORQAN,8.5918,17.132,12.4192,90.0,90.0,109.083,4.29,1.247
HOMOLUMOCHON_final|NUDMOP|685,686,NUDMOP,10.8038,23.985,8.7832,90.0,90.0,102.021,4.52,1.368
HOMOLUMOCHON_final|NUKMAH02|686,687,NUKMAH02,16.5454,7.5826,22.0553,90.0,90.0,95.2065,4.96,1.274
HOMOLUMOCHON_final|NUKMIP01|687,688,NUKMIP01,9.1676,17.2652,9.5031,90.0,90.0,99.498,4.26,1.246
HOMOLUMOCHON_final|NUMSAQ|688,689,NUMSAQ,7.8064,11.7079,17.5929,90.0,90.0,90.0,2.94,1.447
HOMOLUMOCHON_final|NUMSIY|689,690,NUMSIY,7.923,11.7,18.24,90.0,90.0,90.0,3.69,1.494
HOMOLUMOCHON_final|NUMSOE|690,691,NUMSOE,8.0,11.969,17.77,90.0,90.0,90.0,4.02,1.547
HOMOLUMOCHON_final|NUMTAR|691,692,NUMTAR,7.817,9.657,20.536,90.0,90.0,90.0,5.42,1.63
HOMOLUMOCHON_final|NUQGOW|692,693,NUQGOW,7.2142,30.522,6.5587,90.0,90.0,107.267,3.36,1.311
HOMOLUMOCHON_final|OBAGEF|693,694,OBAGEF,8.1066,14.019,16.5882,90.0,90.0,90.0,3.09,1.249
HOMOLUMOCHON_final|OBAGIJ|694,695,OBAGIJ,7.7566,10.4984,17.4472,105.563,92.512,93.299,4.79,1.287
HOMOLUMOCHON_final|OBUDEU|695,696,OBUDEU,7.3572,15.285,12.4239,90.0,90.0,100.696,6.22,1.221
HOMOLUMOCHON_final|OCACIG|696,697,OCACIG,5.2277,14.8549,17.0509,90.0,90.0,90.0,2.33,1.346
HOMOLUMOCHON_final|OCAHUW|697,698,OCAHUW,9.828,6.849,17.634,90.0,90.0,96.36,3.9,1.173
HOMOLUMOCHON_final|OCALOV|698,699,OCALOV,11.389,15.714,11.766,90.0,90.0,98.925,4.29,1.087
HOMOLUMOCHON_final|OCALUB|699,700,OCALUB,15.631,8.2487,16.0,90.0,90.0,105.438,7.59,1.137
HOMOLUMOCHON_final|OCEHIP|700,701,OCEHIP,7.5101,11.1065,15.0228,90.0,90.0,90.0,2.69,1.295
HOMOLUMOCHON_final|OKOFOK|701,702,OKOFOK,7.3374,7.4795,25.3435,90.0,90.0,90.0,3.61,1.196
HOMOLUMOCHON_final|OLENOI|702,703,OLENOI,8.999,9.9599,28.5395,90.0,90.0,90.0,5.94,1.32
HOMOLUMOCHON_final|OLESUU|703,704,OLESUU,7.4677,12.394,14.097,90.0,90.0,93.781,3.66,1.206
HOMOLUMOCHON_final|OMEHOE|704,705,OMEHOE,6.1344,14.6897,14.9871,90.0,90.0,90.0,3.44,1.378
HOMOLUMOCHON_final|OMEJAS|705,706,OMEJAS,11.498,15.974,6.789,90.0,90.0,102.933,5.46,1.401
HOMOLUMOCHON_final|OMEJEW|706,707,OMEJEW,15.528,6.988,12.198,90.0,90.0,92.381,6.61,1.388
HOMOLUMOCHON_final|OMEQIH|707,708,OMEQIH,7.334,10.834,12.736,67.154,73.542,86.631,4.99,1.237
HOMOLUMOCHON_final|OMERAA|708,709,OMERAA,11.1254,6.3299,23.59,90.0,90.0,103.19,6.49,1.184
HOMOLUMOCHON_final|OMINII|709,710,OMINII,14.8492,5.8247,16.4716,90.0,90.0,97.916,4.62,1.338
HOMOLUMOCHON_final|ONINEF|710,711,ONINEF,20.834,12.224,8.784,90.0,90.0,93.811,5.8,1.263
HOMOLUMOCHON_final|ONIQAE|711,712,ONIQAE,5.2334,15.5632,11.7443,90.0,90.0,91.016,3.94,1.28
HOMOLUMOCHON_final|OQIVIU|712,713,OQIVIU,7.4445,14.3768,20.4348,90.0,90.0,90.0,4.7,1.259
HOMOLUMOCHON_final|OSUVEE|713,714,OSUVEE,7.8047,14.4029,20.975,90.0,90.0,90.0,3.57,1.196
HOMOLUMOCHON_final|OVIROB|714,715,OVIROB,15.481,6.5941,12.4508,90.0,90.0,90.049,4.08,1.214
HOMOLUMOCHON_final|OXIWEY|715,716,OXIWEY,5.8014,8.9652,26.0067,90.0,90.0,90.0,4.13,1.229
HOMOLUMOCHON_final|OXOGEO|716,717,OXOGEO,14.798,7.047,10.692,90.0,90.0,109.22,3.98,1.591
HOMOLUMOCHON_final|OYACEX|717,718,OYACEX,3.9157,11.6386,29.2309,90.0,90.0,91.618,7.19,1.458
HOMOLUMOCHON_final|OYIZOM|718,719,OYIZOM,9.418,18.758,11.532,90.0,90.0,98.94,4.55,1.302
