Entry,Index,NAME,a,b,c,alpha,gamma,beta,r_factor,calculated_density
HOMOLUMOCHON_final|OZICEG|42,43,OZICEG,17.4745,8.4668,11.3625,90.0,90.0,104.052,4.3,1.273
HOMOLUMOCHON_final|OZICOQ|43,44,OZICOQ,20.1622,8.1838,12.4063,90.0,90.0,117.394,3.23,1.244
HOMOLUMOCHON_final|PFBBFL11|44,45,PFBBFL11,18.2159,19.8116,8.5724,90.0,90.0,110.569,2.69,1.222
HOMOLUMOCHON_final|PORREU01|45,46,PORREU01,7.1033,27.2058,15.6121,90.0,90.0,99.047,2.82,1.246
HOMOLUMOCHON_final|PUNTUO|46,47,PUNTUO,11.1336,8.8786,11.5617,90.0,90.0,95.395,3.76,1.198
HOMOLUMOCHON_final|PUNVIE|47,48,PUNVIE,10.1713,12.1167,13.0185,63.194,65.645,68.387,3.4,1.198
HOMOLUMOCHON_final|PYRENE07|48,49,PYRENE07,12.358,10.02,8.26,90.0,90.0,96.48,5.15,1.322
HOMOLUMOCHON_final|QEDBEG|49,50,QEDBEG,5.9876,11.6951,13.9555,76.047,83.152,81.328,4.58,1.211
HOMOLUMOCHON_final|QODBIV01|50,51,QODBIV01,10.4311,10.7284,14.2088,84.692,71.421,89.607,3.94,1.171
HOMOLUMOCHON_final|QQQCIG04|51,52,QQQCIG04,26.789,7.17,14.211,90.0,90.0,90.0,3.72,1.296
HOMOLUMOCHON_final|SAXXOF|52,53,SAXXOF,9.523,12.352,13.559,63.298,76.146,77.596,5.63,1.144
HOMOLUMOCHON_final|SAXXUL|53,54,SAXXUL,18.841,6.9763,20.604,90.0,90.0,112.187,4.65,1.178
HOMOLUMOCHON_final|TIDTOQ|54,55,TIDTOQ,11.2911,8.3652,20.6135,90.0,90.0,100.741,5.24,1.279
HOMOLUMOCHON_final|TIDVAE|55,56,TIDVAE,23.6218,23.6218,4.7492,90.0,120.0,90.0,6.23,1.269
HOMOLUMOCHON_final|UCEVUU|56,57,UCEVUU,18.873,12.336,6.7665,90.0,90.0,90.0,3.67,1.283
HOMOLUMOCHON_final|UCEWAB|57,58,UCEWAB,10.822,15.188,10.316,90.0,90.0,110.95,4.42,1.277
HOMOLUMOCHON_final|UKISOX|58,59,UKISOX,15.8912,15.343,8.6285,90.0,90.0,92.68,4.82,1.222
HOMOLUMOCHON_final|VUFHAG|59,60,VUFHAG,22.801,19.793,3.9073,90.0,90.0,90.0,7.11,1.501
HOMOLUMOCHON_final|VUFHOU|60,61,VUFHOU,17.238,14.184,4.1973,90.0,90.0,90.0,4.93,1.529
HOMOLUMOCHON_final|VUFHUA|61,62,VUFHUA,19.7771,32.525,3.7499,90.0,90.0,90.0,4.97,1.516
HOMOLUMOCHON_final|WONHAJ|62,63,WONHAJ,7.368,11.484,14.882,90.0,90.0,96.741,4.7,1.112
HOMOLUMOCHON_final|WONHEN|63,64,WONHEN,7.79,22.917,12.561,90.0,90.0,100.744,5.15,1.25
HOMOLUMOCHON_final|WUMWIL|64,65,WUMWIL,7.9296,11.5575,14.399,90.0,90.0,90.0,3.91,1.29
HOMOLUMOCHON_final|XECTEF|65,66,XECTEF,12.3588,14.3481,7.4226,90.0,90.0,90.0,6.58,1.233
HOMOLUMOCHON_final|XIRYIH|66,67,XIRYIH,11.3901,8.0274,14.5761,90.0,90.0,90.0,4.0,1.178
HOMOLUMOCHON_final|YEFDAP|67,68,YEFDAP,8.1918,18.4683,7.0314,90.0,90.0,98.709,4.77,1.214
HOMOLUMOCHON_final|YITFUD|68,69,YITFUD,22.5733,7.8078,12.2588,90.0,90.0,98.093,5.26,1.269
HOMOLUMOCHON_final|YIVBEK01|69,70,YIVBEK01,13.0264,12.3716,12.5327,90.0,90.0,120.799,5.63,1.303
HOMOLUMOCHON_final|YIWXEI|70,71,YIWXEI,18.529,12.284,7.531,90.0,90.0,90.0,4.01,1.211
HOMOLUMOCHON_final|YIWXIM|71,72,YIWXIM,8.6361,8.7002,18.212,102.079,108.257,91.945,6.24,1.232
HOMOLUMOCHON_final|YUNXIO|72,73,YUNXIO,12.784,6.9592,13.79,90.0,90.0,90.0,4.8,1.139
HOMOLUMOCHON_final|ZENQOY|73,74,ZENQOY,11.263,18.507,7.449,90.0,90.0,110.379,5.2,1.188
HOMOLUMOCHON_final|ZENQOZ|74,75,ZENQOZ,11.604,7.754,18.146,90.0,90.0,102.71,5.4,1.203
HOMOLUMOCHON_final|ZZZTKA01|75,76,ZZZTKA01,15.6757,10.4805,7.5277,90.0,90.0,90.0,3.88,1.119
HOMOLUMOCHON_final|AMEJAE|76,77,AMEJAE,10.6889,13.6296,12.81,90.0,90.0,107.747,5.72,1.366
HOMOLUMOCHON_final|APACEA|77,78,APACEA,15.242,6.8033,15.381,90.0,90.0,114.544,5.15,1.366
HOMOLUMOCHON_final|ATEQAS|78,79,ATEQAS,14.926,15.625,11.382,90.0,90.0,90.0,5.64,1.203
HOMOLUMOCHON_final|ATEQOG|79,80,ATEQOG,8.08,15.223,20.61,90.0,90.0,90.0,4.89,1.249
HOMOLUMOCHON_final|ATEQUM|80,81,ATEQUM,9.141,9.934,12.142,79.57,69.69,85.82,4.72,1.23
HOMOLUMOCHON_final|ATOBOA|81,82,ATOBOA,14.857,14.343,7.113,90.0,90.0,90.0,7.02,1.316
HOMOLUMOCHON_final|ATOBUG|82,83,ATOBUG,10.5405,10.5904,16.9489,90.0,90.0,93.549,4.68,1.254
HOMOLUMOCHON_final|AVUZEW|83,84,AVUZEW,23.872,12.2194,7.9405,90.0,90.0,98.811,4.86,1.209
HOMOLUMOCHON_final|AXEDUC|84,85,AXEDUC,9.6313,27.546,10.0388,90.0,90.0,107.025,3.66,1.264
HOMOLUMOCHON_final|BEWLAR|85,86,BEWLAR,10.1741,10.6139,11.3542,97.425,110.437,90.136,4.02,1.286
HOMOLUMOCHON_final|BORTAE|86,87,BORTAE,14.3412,10.9327,11.1408,90.0,90.0,91.0293,4.43,1.15
HOMOLUMOCHON_final|BORTUY|87,88,BORTUY,9.8002,7.2445,26.1183,90.0,90.0,94.6725,4.6,1.195
HOMOLUMOCHON_final|BORVAG01|88,89,BORVAG01,9.3059,12.1138,16.5226,90.0,90.0,100.91,3.57,1.149
HOMOLUMOCHON_final|BORVIO|89,90,BORVIO,8.9442,9.2587,12.0545,74.61,68.098,82.151,5.76,1.208
HOMOLUMOCHON_final|BORVOU|90,91,BORVOU,8.782,7.972,21.191,90.0,90.0,94.724,5.16,1.161
HOMOLUMOCHON_final|BORVUA|91,92,BORVUA,7.2282,14.5797,18.0219,90.0,90.0,94.6029,4.83,1.244
HOMOLUMOCHON_final|BORWAH|92,93,BORWAH,9.3343,9.6107,12.4635,70.786,67.211,74.417,4.76,1.17
HOMOLUMOCHON_final|BORWOV|93,94,BORWOV,10.2471,10.8387,13.1028,73.0483,88.6849,69.9698,4.85,1.271
HOMOLUMOCHON_final|BORWUB|94,95,BORWUB,5.5435,27.744,10.0705,90.0,90.0,96.989,3.86,1.186
HOMOLUMOCHON_final|BOVYIV|95,96,BOVYIV,9.2255,8.5075,12.2323,90.0,90.0,109.233,3.48,1.335
HOMOLUMOCHON_final|BOWYUI|96,97,BOWYUI,7.7499,13.4983,17.334,90.0,90.0,90.0,3.7,1.35
HOMOLUMOCHON_final|BUFNAS|97,98,BUFNAS,9.9777,18.8351,7.6963,90.0,90.0,90.0,3.34,1.343
HOMOLUMOCHON_final|CIXJUP|98,99,CIXJUP,7.8663,11.7838,13.402,90.0,90.0,90.0,4.5,1.36
HOMOLUMOCHON_final|COBPUF|99,100,COBPUF,15.857,6.0165,18.129,90.0,90.0,115.918,4.2,1.3
HOMOLUMOCHON_final|CUVLUB|100,101,CUVLUB,12.8226,6.9457,32.1031,90.0,90.0,90.0,4.51,1.395
HOMOLUMOCHON_final|DABCOA|101,102,DABCOA,9.804,10.805,12.268,90.0,90.0,99.515,3.38,1.349
HOMOLUMOCHON_final|DABCUG|102,103,DABCUG,7.276,13.4222,15.4417,90.0,90.0,89.253,4.29,1.367
HOMOLUMOCHON_final|DAGCIZ|103,104,DAGCIZ,19.178,9.0716,11.4454,90.0,90.0,125.882,4.15,1.204
HOMOLUMOCHON_final|DAJDUP|104,105,DAJDUP,11.864,15.282,12.121,90.0,90.0,111.42,4.33,1.323
HOMOLUMOCHON_final|DIBMEH|105,106,DIBMEH,11.4922,11.4922,8.5763,90.0,120.0,90.0,2.3,1.017
HOMOLUMOCHON_final|DIHNIS|106,107,DIHNIS,11.0647,11.1233,12.2123,70.0811,75.9468,86.9756,5.4,1.286
HOMOLUMOCHON_final|DISKUM|107,108,DISKUM,9.5122,13.5695,9.9716,90.0,90.0,106.4,3.82,1.277
HOMOLUMOCHON_final|DOKQEA|108,109,DOKQEA,5.492,12.032,19.337,90.0,90.0,94.82,3.4,1.415
HOMOLUMOCHON_final|DONYOV|109,110,DONYOV,12.5814,11.5579,10.9464,90.0,90.0,111.533,3.38,1.262
HOMOLUMOCHON_final|DOTKAZ|110,111,DOTKAZ,11.5027,11.6244,20.8562,90.0,90.0,105.597,4.02,1.122
HOMOLUMOCHON_final|DUWCII|111,112,DUWCII,15.529,12.186,10.764,90.0,90.0,110.147,4.58,1.162
HOMOLUMOCHON_final|EBUCAH|112,113,EBUCAH,21.032,6.839,8.436,90.0,90.0,96.91,5.04,1.171
HOMOLUMOCHON_final|EDEPIN|113,114,EDEPIN,9.5264,8.6992,21.9714,90.0,90.0,93.961,3.49,1.238
HOMOLUMOCHON_final|EGOVIF|114,115,EGOVIF,7.971,8.03,16.541,90.0,90.0,93.62,7.41,1.253
HOMOLUMOCHON_final|EPIRIF|115,116,EPIRIF,23.1039,6.0491,15.7821,90.0,90.0,92.218,3.35,1.337
HOMOLUMOCHON_final|EQASEV|116,117,EQASEV,7.7173,8.8634,19.0154,90.0,90.0,93.35,3.24,1.321
HOMOLUMOCHON_final|EQICEN|117,118,EQICEN,9.0875,10.3843,14.764,90.0,90.0,105.664,6.34,1.438
HOMOLUMOCHON_final|ETIQOO|118,119,ETIQOO,22.9128,9.7198,5.4703,90.0,90.0,90.0,6.04,1.245
HOMOLUMOCHON_final|EVOVOB|119,120,EVOVOB,13.0601,19.0376,8.2253,90.0,90.0,90.0,4.41,1.311
HOMOLUMOCHON_final|EVUDAB01|120,121,EVUDAB01,18.6716,18.6716,7.7216,90.0,120.0,90.0,3.39,1.45
HOMOLUMOCHON_final|EVUSIX|121,122,EVUSIX,8.4656,11.5909,19.367,90.0,90.0,90.0,4.93,1.274
HOMOLUMOCHON_final|EWODEA|122,123,EWODEA,7.3012,11.7378,12.4601,90.0,90.0,101.022,3.26,1.427
HOMOLUMOCHON_final|EZUHUC|123,124,EZUHUC,26.825,11.593,9.322,90.0,90.0,93.6,5.51,1.351
HOMOLUMOCHON_final|FAXVIK|124,125,FAXVIK,8.523,22.678,7.769,90.0,90.0,93.388,4.76,1.167
HOMOLUMOCHON_final|FAZJEW|125,126,FAZJEW,3.8634,14.7292,22.3403,90.0,90.0,90.0,3.5,1.402
HOMOLUMOCHON_final|FOPFIA|126,127,FOPFIA,9.7446,11.5028,11.7836,98.106,100.454,98.719,3.94,1.294
HOMOLUMOCHON_final|FUJKOL|127,128,FUJKOL,32.377,4.4451,11.1901,90.0,90.0,105.681,3.27,1.424
HOMOLUMOCHON_final|FUMCUM|128,129,FUMCUM,7.1632,12.3083,17.4259,90.0,90.0,99.084,4.4,1.271
HOMOLUMOCHON_final|GIDWAS|129,130,GIDWAS,13.5212,12.446,12.3248,90.0,90.0,103.326,4.39,1.078
HOMOLUMOCHON_final|GIWCUL|130,131,GIWCUL,9.3464,7.1262,16.112,90.0,90.0,92.993,3.29,1.371
HOMOLUMOCHON_final|GUVJOX|131,132,GUVJOX,9.205,10.777,17.916,90.0,90.0,90.0,5.44,1.224
HOMOLUMOCHON_final|GUWZAA|132,133,GUWZAA,5.499,25.497,7.818,90.0,90.0,94.865,7.95,1.273
HOMOLUMOCHON_final|GUXJAK01|133,134,GUXJAK01,9.0571,9.2996,13.3391,90.0,90.0,90.0,4.04,1.066
HOMOLUMOCHON_final|HADPAF|134,135,HADPAF,14.9876,5.6399,18.1283,90.0,90.0,94.317,5.11,1.341
HOMOLUMOCHON_final|HADZET|135,136,HADZET,10.0732,23.3283,10.6167,90.0,90.0,112.066,4.59,1.352
HOMOLUMOCHON_final|HEWLOL01|136,137,HEWLOL01,5.9729,13.558,19.8855,90.0,90.0,107.438,4.45,1.342
HOMOLUMOCHON_final|HIFCIJ|137,138,HIFCIJ,9.8609,8.4986,16.9639,90.0,90.0,90.0,2.99,1.254
