REFCODE,CC,CH,CCl,CO,CS,CBr,CN,HBr,HH,HO,HS,HCl,HN,OCl,OO,OS,BrO,ON,NN,ClCl,NS,SS,NCl,SCl,ClBr,SBr,NBr,BrBr,FF,FO,FC,FH,FS,FCl,FN,FBr,II,BrI,ClI,FI,SI,OI,NI,CI,HI,BAND GAP
RICBUB,10.8,15.8,0,0,0,1.4,0,37.7,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.431
RINFAX,11.7,27.4,0,0,0,0,0.3,0,30.7,27.3,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.747
RIGVEJ02,7,9.2,0,7.6,0,0,2.2,0,10.3,12,0,0,0.2,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,0,10.6,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.496
ROMMUC,2,12.8,1.5,0.1,0,0,0.1,0,25.6,4.4,0,11.1,5.9,0,0,0,0,1,0,1.1,0,0,0.5,0,0,0,0,0,0,0.3,8.2,24.4,0,1,0,0,0,0,0,0,0,0,0,0,0,3.017
RUNKIW,17.5,10.5,0,0,0,0,4.3,0,28.3,0,0,0,11,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,2,0,4.6,21.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.221
RUNKOC,16.2,15.3,0,0,0,0,3.9,0,24.1,0,0,0,10.8,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.1,0,2.5,25.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1.19
RUNKUI,15.7,8.4,0,0,0,0,4.1,0,9.5,0,0,0,9.7,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,6.4,0,9,36,0,0,1.2,0,0,0,0,0,0,0,0,0,0,1.108
RUNLAP,16,11.3,0,0,0,0,3.5,0,5.8,0,0,0,7.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,13.1,0,9.9,31.6,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.734
SOFWIV01,0,29,0,0,0,4.7,0,41.6,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.822
SOYYAI,7.2,13,0,3.4,0,1.7,0,26.6,11.7,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,4,4.1,3.3,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.434
